cycles,instructions,cache_misses,branch_misses,label
1365193028,1227122494,10269908,10454422,2
1360483339,1226327210,10165807,10529127,2
1378581984,1226553038,10607114,10468437,2
1369414900,1226263505,10275896,10445556,2
1382975286,1227344695,10536016,10484880,2
1377205425,1227501099,10283191,10471647,2
1366864872,1226269813,10374212,10458678,2
1361906094,1226134204,10377008,10460135,2
1400767977,1225558488,10259599,10473317,2
1398246604,1225550704,10466692,10412439,2
1396250625,1225416875,10526260,10451021,2
1422848196,1225912170,10462885,10490359,2
1420125459,1226210563,10123842,10444602,2
1416730408,1225463112,10377192,10409362,2
1432901151,1225252365,10362716,10481765,2
1435170415,1226087649,10393726,10482737,2
1454874504,1225790656,10510778,10393275,2
1456519329,1225450718,10236796,10474411,2
1455601407,1224703108,10349213,10429546,2
1463088567,1225346024,10420734,10430852,2
1468258446,1227232071,10603726,10412019,2
1457239832,1225248396,10283691,10416236,2
1523790591,1236381847,10530981,10712342,2
1538693865,1234231905,10428132,10641299,2
1528442246,1240459489,10821243,10691954,2
1541903670,1227475630,10400784,10511133,2
1521289466,1233100976,10755399,10599012,2
1486142630,1227801005,10508607,10591329,2
1514204039,1241113753,10508897,10765189,2
1531806306,1227706731,10367679,10502230,2
1533554488,1238420312,10702300,10706937,2
1523996946,1232260191,10262714,10614859,2
1526793241,1228060531,10556019,10527869,2
1520137429,1226302326,10483590,10510620,2
1568519309,1235048632,10407032,10666212,2
1541777623,1225983762,10543193,10494029,2
1573079568,1226519674,10397548,10469525,2
1569935555,1227029462,10529779,10502581,2
1567593547,1240872770,10851905,10707060,2
1599162474,1240376116,10425489,10723029,2
1591731709,1228419769,10484069,10519835,2
1550038351,1226002723,10414042,10524834,2
1592714876,1233429160,10799958,10708308,2
1569633291,1246823598,10994447,10844534,2
1568830430,1230100638,10524784,10528117,2
1580610473,1243794222,10892851,10830375,2
1552073038,1225895391,10279091,10509424,2
1566900820,1226226708,10299283,10481059,2
1599064981,1251009204,11248464,10925757,2
1594145670,1245542335,10842807,10835694,2
1579672567,1238362731,10518647,10815365,2
1571401303,1244228995,10925517,10886164,2
1575814410,1237664693,10575617,10666649,2
1593607221,1227144826,10170167,10473760,2
1601644603,1225052383,10436763,10446980,2
1580182218,1233685635,10540874,10629696,2
1528358763,1228540823,10462966,10581385,2
1584760902,1227140878,10461249,10536031,2
1567688141,1236456333,10589121,10680222,2
1516534718,1225601816,10361328,10486610,2
1569210881,1250894995,10846287,10992820,2
1542346727,1231249380,10610301,10598482,2
1501769681,1233503959,10565601,10632792,2
1548348722,1225410498,10518547,10491775,2
1550280146,1232781754,10722900,10620005,2
1542042636,1232725028,10526594,10704421,2
1522096382,1228369453,10494954,10593630,2
1520870160,1230316488,10338583,10619380,2
1563479443,1235142625,10542302,10759142,2
1559461193,1231345499,10420800,10631325,2
1520981599,1228403329,10241409,10535883,2
1543156262,1237814631,10704489,10649368,2
1571665273,1225917101,10403392,10480018,2
1572502458,1230269685,10731917,10535165,2
1557957882,1238946108,10813148,10783807,2
1523676527,1228744977,10357747,10526090,2
1517231525,1232436423,10399164,10668984,2
1541812629,1236670703,10468135,10706271,2
1567046190,1243236472,11054227,10863203,2
1563922545,1234059360,10459169,10639959,2
1520435147,1228160209,10507256,10511582,2
1496615044,1227856562,10351643,10506282,2
1514337750,1226203724,10635105,10470194,2
1547124430,1233543118,10706842,10733452,2
1538561041,1226471936,10577488,10547799,2
1587644709,1226682888,10273247,10481048,2
1564815466,1226701093,10077840,10557737,2
1555200135,1226861089,10415557,10570242,2
1590895765,1235583998,10510856,10759612,2
1552488429,1233215840,10639794,10591704,2
1552689057,1225913111,10323919,10448852,2
1523607784,1226737664,10230474,10495577,2
1586532208,1226068377,10258986,10535367,2
1515288478,1226600056,10427624,10483272,2
