cycles,instructions,cache_misses,branch_misses,label
1216462684,1228991683,10572191,10428902,1
1242534352,1227842516,10229966,10434785,1
1237083245,1227210781,10574398,10429110,1
1240781960,1227559372,10380825,10433470,1
1241938681,1227447905,10253711,10414633,1
1246828594,1227922986,10349651,10391757,1
1272467086,1227123050,10425890,10452055,1
1300493060,1227507576,10451714,10412909,1
1297964921,1226293603,10364934,10447782,1
1293621963,1227035079,10444905,10431822,1
1292569551,1226617568,10473447,10408983,1
1291503486,1226565215,10384015,10440092,1
1295675754,1226802807,10204355,10492744,1
1296287188,1226663546,10119060,10412239,1
1312355298,1226146138,10172868,10385319,1
1309131416,1226922393,10365845,10373667,1
1297701702,1226086346,10371053,10401992,1
1315039614,1226626525,10420861,10411629,1
1306517217,1226176066,10342885,10373955,1
1319593980,1225815665,10510532,10419748,1
1306312025,1226308278,10448308,10419256,1
1310586877,1226911055,10317922,10393491,1
1308880317,1226560730,10265520,10409273,1
1315951880,1226792023,10451301,10407162,1
1313513980,1226455079,10471718,10408895,1
1318708927,1226836292,10275740,10420835,1
1305207246,1226078931,10466074,10399559,1
1311647711,1226077512,10219619,10383091,1
1301916761,1226242548,10280647,10490826,1
1305728055,1226672376,10137113,10396759,1
1309135650,1226348903,10358424,10388403,1
1312285452,1230500713,10180440,10426913,1
1314007482,1226359576,10224414,10396288,1
1313412300,1226342365,10261151,10412457,1
1310758942,1226134076,10290331,10381244,1
1315002057,1226322385,10193521,10396499,1
1309390689,1226591080,10342267,10426968,1
1319692127,1226635364,10608481,10412849,1
1297135891,1226146215,10368601,10391432,1
1296142397,1227142997,10381430,10388323,1
1294336853,1226015943,10321816,10448767,1
1288505981,1227116400,10007237,10399175,1
1291252543,1226443978,10449172,10391263,1
1295351729,1225862070,10514520,10442571,1
1307060880,1227097291,10497402,10488588,1
1296617674,1226375638,10468497,10362861,1
1311180434,1226692713,10201142,10371383,1
1312388737,1227078794,10025697,10467246,1
1306124970,1227376367,10193919,10432188,1
1317851065,1227907279,10411072,10414548,1
1316069668,1227959877,10214907,10468255,1
1310996994,1227564956,10169078,10457484,1
1314810724,1226274777,10446192,10406638,1
1311870830,1226628286,10468973,10406839,1
1296774800,1227151093,10160708,10397560,1
1297153760,1226976878,10184066,10409432,1
1295229538,1226291667,10390500,10488601,1
1292645779,1226231720,10168479,10452655,1
1289672120,1226408390,10382825,10396414,1
1295898331,1226821933,10099795,10410355,1
1287372230,1226963696,10549364,10390039,1
1297281121,1226553196,10468493,10489658,1
1297844791,1226747020,10431700,10419096,1
1302085884,1226425996,10474066,10407131,1
1295090799,1226554546,10551470,10431602,1
1295821160,1226256663,10287444,10455014,1
1295512367,1226404031,10226131,10399829,1
1295951242,1226932491,10419456,10476717,1
1290461231,1226100713,10401183,10391401,1
1292439453,1226376301,10351886,10377492,1
1301485552,1226884774,10301326,10461742,1
1296971214,1226344888,10323460,10392672,1
1292342498,1227106969,10421096,10412137,1
1297716273,1231349793,10222003,10414906,1
1301451924,1226705281,10647352,10443777,1
1290219253,1226460440,10292022,10409195,1
1293994879,1226514362,10572175,10412037,1
1291097503,1226230876,10068950,10380055,1
1309015664,1227609544,10297198,10416232,1
1292492652,1226923827,10547093,10412385,1
1286833685,1226241481,10375860,10393774,1
1292655762,1226496498,10593042,10389448,1
1290039038,1226510245,10326762,10398157,1
1300395940,1226548287,10347920,10398537,1
1309510764,1226859655,10411067,10435890,1
1314059157,1225846139,10139554,10418224,1
1316497905,1226949931,10246686,10399912,1
1313511451,1226720276,10209366,10520367,1
1318401988,1226837634,10345044,10388568,1
1308168091,1226433687,10552177,10456995,1
1315865951,1230875312,10348673,10414820,1
1313604026,1226510396,10737296,10417501,1
1311691994,1225896705,10216273,10391421,1
1314256557,1226112149,10287263,10396117,1
1310138614,1226503224,10139975,10407326,1
1312742774,1226889450,10467186,10425476,1
1311205444,1225739727,10325538,10372039,1
1307464880,1226792133,10561391,10386319,1
1310605733,1227103554,10322637,10414834,1
1308748082,1226748556,10381589,10396862,1
1303155095,1226818801,10295469,10389359,1
1296601572,1226480182,10222793,10397391,1
1297644582,1226952801,10503974,10485304,1
1290149765,1226366863,10431995,10389407,1
1295830654,1227039938,10296947,10411480,1
1288411708,1226966655,10218738,10422329,1
1300112535,1226742200,10680998,10431250,1
1298619565,1226595503,10313983,10419273,1
1291829367,1227041775,10297041,10408856,1
1298774943,1226708204,10471138,10381643,1
1294838862,1226258789,10293277,10440428,1
1300316802,1226760947,10344423,10517645,1
1296420593,1226391363,10502406,10405441,1
1291937543,1226322754,10454476,10381807,1
