cycles,instructions,cache_misses,branch_misses,label
147044440,78889547,1115663,664630,3
150156088,83574491,1010262,773808,3
87661869,49232180,536916,290329,3
96218242,56556159,584227,573293,3
93410203,53574911,524027,610866,3
93328281,53626346,408045,568309,3
92572792,51723842,543678,425258,3
105054733,58921718,702589,392584,3
113077506,68259777,592659,698648,3
115627719,66083679,771406,773232,3
108351174,59055048,722919,368030,3
9828644,4477279,55803,36832,3
10381326,4988758,46625,68387,3
10680473,4529681,55796,39193,3
9347764,4473608,56859,37240,3
11254826,4306019,73453,53432,3
11536747,4496997,53197,37775,3
10266766,4514733,52107,37377,3
9551038,4475281,56794,35812,3
61919674,34222918,325697,207982,3
65058688,37906600,336301,359787,3
63285286,34107293,412169,281121,3
72154890,41217390,241597,466223,3
62779594,34362821,394341,214023,3
62980513,34320622,347946,220770,3
133953036,75862366,817143,596903,3
142427709,82706398,779970,947690,3
136419114,74040253,889729,459966,3
134420968,74157932,964942,482931,3
141919010,80384331,912435,793611,3
142251787,82558779,836229,732403,3
134497329,74749228,833637,470975,3
146106433,89321677,741269,1056857,3
19225314,10277043,135478,71831,3
20762306,11591374,93556,157594,3
19188586,10196898,141723,73637,3
19850989,10278458,136542,69947,3
19927446,10103883,137770,79821,3
19558768,10271372,136770,71479,3
19779517,10275115,140331,73263,3
19726366,10243050,119902,77951,3
138166280,76269878,1057860,640272,3
141360018,76284887,880640,501056,3
137251671,76960514,896867,543165,3
9904116,4256340,60392,54326,3
10238149,5076119,60147,69594,3
9762246,4101793,64468,49731,3
9552867,4473572,53744,36162,3
11283957,4435167,50839,36741,3
10087209,4497667,51320,36572,3
9835210,4476940,55562,35970,3
10266377,4851732,57649,62922,3
9349176,4455967,54523,35642,3
10062638,4310008,64245,55640,3
133231701,77131481,629878,799175,3
136096916,80544744,787667,889095,3
122272713,68861372,888171,414372,3
128313333,78029745,608916,740610,3
131848131,73521803,794273,772823,3
79429108,43389011,510810,259327,3
80267634,43327006,516225,309651,3
78195748,43034725,541419,327683,3
80659878,42992523,538257,365364,3
138953689,80148038,861834,702822,3
142586094,85379676,698105,1068623,3
145539473,88438445,896600,1018083,3
136562792,73411284,987007,591423,3
55745485,29531920,332462,177981,3
56940467,32778822,273094,369205,3
52608768,29633938,296825,171884,3
61875178,35746862,309598,399892,3
53863933,29486508,342698,177004,3
55314775,27741171,386261,269082,3
55239505,29510019,336344,171268,3
137758339,76689343,903421,476471,3
149168422,91150669,467778,1077514,3
145984578,81994734,1001459,852446,3
148602260,91117646,651823,978174,3
148495461,83373837,979070,760266,3
142743791,77802457,1113033,663093,3
