cycles,instructions,cache_misses,branch_misses,label
1415623417,1463181062,11087702,11174265,1
1400607196,1455045687,10811578,11174655,1
1391347770,1455495180,10689587,11182686,1
1394545151,1455799381,10812466,11098946,1
1391695343,1456115416,10909715,11152303,1
1396779287,1455599704,11044950,11182908,1
1393437474,1455254808,10636373,11142093,1
1397083889,1455540455,10730582,11196971,1
1398198338,1455643377,10769757,11138425,1
1394498462,1455489685,10793114,11120542,1
1401910548,1455745323,10880180,11146458,1
1399633893,1455309225,10664117,11138937,1
1400409642,1455499379,10710141,11167068,1
1394334360,1455161684,10878671,11150125,1
1393127909,1455591072,10502452,11131142,1
1396693216,1455347929,10950092,11135109,1
1396372062,1455483588,10749721,11143555,1
1403554171,1459304372,10947232,11169069,1
1397860275,1455454034,10817439,11151558,1
1395849969,1455341564,10616783,11090724,1
1396182842,1455548815,10550104,11125997,1
1399240875,1455209746,10748978,11127104,1
1398054590,1455967686,10804829,11155587,1
1398579988,1459359875,10739280,11163658,1
1396857416,1455550408,11047022,11116273,1
1397591315,1459164394,10741493,11135125,1
1398668987,1455625469,10845489,11132077,1
1395199125,1456022080,10863807,11119647,1
1398935403,1455478198,10939813,11140379,1
1398938146,1455677147,10933884,11098921,1
1402322146,1455830406,10754549,11197254,1
1397261578,1455958964,10826077,11120071,1
1394713738,1455178791,10691733,11129149,1
1399311752,1455548701,10900181,11101732,1
1396779853,1455382572,10586718,11135082,1
1392570212,1455376346,10619518,11120186,1
1391830842,1455745751,10868274,11138047,1
1390924059,1455091953,10707190,11114491,1
1400717919,1455497268,10725017,11155042,1
1401517747,1455768034,10665805,11185551,1
1409454072,1459985641,10914516,11204519,1
1396517297,1456209658,10719693,11169147,1
1397363662,1456513478,10605581,11163306,1
1403344935,1455590308,10698942,11252866,1
1390302960,1455564594,10592416,11090048,1
1386951446,1455459418,10963748,11119211,1
1395494323,1455890882,11023164,11135090,1
1400072946,1455192055,10962532,11133015,1
1403902894,1455296574,10949567,11138924,1
1396832511,1455889538,10887419,11103852,1
1399270095,1455731621,10543330,11102171,1
1399243215,1455325172,10735508,11108414,1
1396593421,1455404690,10761084,11143900,1
1397131712,1455151583,11025336,11202264,1
1396169888,1455613639,10843903,11155654,1
1391127587,1455581111,10842863,11148176,1
1391997619,1455204901,10455376,11123712,1
1394142134,1455620951,10803084,11114745,1
1391054150,1455681547,10721551,11120590,1
1399301682,1455632926,10490117,11181191,1
1400662783,1455849651,10564622,11133325,1
1400484664,1456237558,10577815,11141321,1
1397660962,1455808085,10984497,11211302,1
1390945432,1455302285,10527147,11107387,1
1397821813,1455700278,10750814,11152038,1
1397211186,1459172489,10583495,11167797,1
1396885321,1455415376,10762577,11148809,1
1398700501,1455944271,10824753,11130258,1
1399780607,1455414757,10635383,11126068,1
1402073811,1455678712,10926782,11173664,1
1405579148,1459338474,10777524,11265918,1
1403388175,1459776923,10725060,11194891,1
1395544435,1455559321,10982057,11124158,1
1396097300,1455656887,10656928,11124908,1
1395934390,1456007368,10748521,11137894,1
1399301937,1455654991,10615799,11127419,1
1401974959,1455435955,10703493,11172899,1
1397800614,1455600895,10794903,11117442,1
1399286302,1455511881,10422861,11148722,1
1399324536,1455357889,10656248,11338384,1
1391693092,1455612049,10714718,11159384,1
1397377107,1459373541,11070736,11207468,1
1392406842,1455484971,10695988,11117829,1
1405548265,1460166985,10725565,11193475,1
1395241900,1455734120,10883195,11156737,1
1396820361,1455694190,10900325,11121463,1
1397250143,1455953925,10737721,11138163,1
1397243916,1455467426,10993946,11126032,1
1392509357,1455385698,10829202,11132380,1
