cycles,instructions,cache_misses,branch_misses,label
17881890,10400916,123382,79023,2
17433955,10292121,129865,74025,2
17446494,10280236,125642,74200,2
17188265,10267340,121330,71215,2
17150121,10278428,131549,68119,2
88169080,75325224,65623,42963,2
88236588,75338651,60886,44548,2
85498812,75311568,58904,43636,2
87199427,75308255,65059,43646,2
146349670,110088107,526667,281175,2
144828666,109948837,485589,269027,2
145452183,109864517,513629,264324,2
89201268,52911497,716823,349243,2
165850169,123544234,764259,353783,2
84829360,72750024,32505,26854,2
84959086,72782242,32345,28276,2
82164001,72779876,31134,28243,2
81187214,72768144,31325,28577,2
84054467,72778291,32721,29463,2
177468470,129381938,777609,383678,2
174675376,129365645,735561,401997,2
155796604,116230784,591139,311199,2
157087628,116163243,483881,307141,2
156231054,116349090,582358,308369,2
140742780,107448215,503503,249607,2
142222676,107440099,504380,243714,2
137748115,107373535,495721,242056,2
108369357,86837376,204189,113528,2
106070328,86809254,186883,121175,2
108483071,86799089,176464,118277,2
105690924,86752769,170947,118430,2
101966988,83044353,163569,90804,2
99770653,83057763,171502,94398,2
96631818,82977709,156321,92242,2
100911335,83008111,145070,95807,2
99648171,82994965,161974,94933,2
115647805,91758884,269891,147107,2
113151079,91812578,263651,151719,2
113664631,91733863,284090,142941,2
115061580,91811734,255876,153334,2
115317662,91797331,238771,146633,2
127179307,101693167,372926,218127,2
133899199,101622824,437944,213106,2
131917369,101631002,407284,206286,2
129096934,101677763,416798,209264,2
151552000,113181985,515122,295208,2
150377966,113269242,523955,285352,2
153055967,113176601,516055,292059,2
179010249,128801282,763972,376879,2
172682355,128780547,696504,378697,2
176426511,128788653,770458,384249,2
112489598,89200262,235216,128630,2
108789283,89163007,258333,130915,2
110729016,89145216,232126,123912,2
111526018,89191349,224379,134832,2
112728051,89130324,247814,129823,2
100703551,84351144,193929,104888,2
102822820,84413991,160761,97865,2
104574265,84407316,186826,102144,2
104732168,84370259,181491,105071,2
102719411,84359351,159847,95471,2
140274140,107347594,462730,252803,2
143199603,107308968,466777,253559,2
140580475,107326485,480548,252074,2
139352415,107294101,448258,253049,2
173677969,125547701,713230,368695,2
174034044,125593101,691432,374867,2
173570452,125564504,598152,369668,2
189719411,134791756,904318,432310,2
190200550,134851950,872672,425063,2
188374058,134699618,896935,430283,2
117481825,93764548,276422,160976,2
116225496,93822801,284212,162321,2
118765985,93791754,307479,159196,2
120411389,93738485,294618,164585,2
118313011,70295101,764026,472879,2
117506297,70022653,893545,448228,2
118185330,70126544,937864,446090,2
118364476,70218982,891621,452610,2
201416145,142029909,789404,480493,2
201797632,141729402,990704,478434,2
7641943,4309529,52681,34052,2
7570904,4296884,52922,33811,2
7632852,4316340,54409,34223,2
7649027,4327740,50666,34924,2
7583101,4306686,46263,33788,2
7695089,4319610,51290,35179,2
7699519,4344283,57015,34599,2
7628807,4317195,51850,33263,2
7556838,4303018,46832,33237,2
7676184,4314317,54810,35299,2
7658719,4324240,48948,34056,2
204329277,144925053,892710,471519,2
201319960,144878169,875418,504117,2
201466642,144777100,836845,495094,2
15989213,9389244,130475,61752,2
16140111,9428480,106606,65668,2
15843069,9387162,114334,63485,2
15781791,9331202,108506,62450,2
16008995,9382697,125398,66506,2
15986493,9382938,117342,65347,2
16130624,9352952,127670,67601,2
16145606,9391201,113880,65457,2
191805865,136829943,889216,429320,2
190704361,136988297,881742,441777,2
188487761,137026170,966416,434935,2
206766991,145494731,867548,481954,2
203316893,145267531,909009,511899,2
207464710,145397765,961645,493418,2
191733700,137686223,872472,444621,2
191235610,137387225,880165,439215,2
191078735,137681345,756147,451852,2
21663696,12895772,158012,82190,2
21898676,12912293,185588,83657,2
21754120,12850859,141049,88881,2
22008858,12909198,155288,88182,2
21521838,12835736,145607,84555,2
22009166,12896420,152660,87155,2
129391287,99437661,345382,194471,2
129006199,99441146,345401,184023,2
123881134,99448390,348086,198655,2
126166001,99449864,408223,197923,2
166301907,122030226,607402,343676,2
86527392,51505777,627591,334837,2
166007741,122059377,612502,333585,2
165789403,121861306,620007,338904,2
127482668,75686358,984382,488041,2
128579760,75780500,1090025,488218,2
127174052,75906854,883775,491683,2
103746492,86498732,202658,116195,2
105336048,86540313,210341,113217,2
105221848,86514841,206347,110883,2
108133958,86520868,229629,112228,2
106933935,86522277,228993,114742,2
87930383,74429084,53702,38647,2
87920034,74424212,48864,37645,2
87860655,74415169,51942,38358,2
87839499,74410357,56559,37233,2
86470928,74407973,49879,39262,2
109785039,87539866,219954,120831,2
106966604,87500424,202233,122592,2
107008096,87503343,211859,124085,2
103540701,87473571,210433,127742,2
109627156,87434924,222348,117743,2
105426726,87725663,217506,124747,2
104441232,87636663,226657,121372,2
105787642,87662086,228318,117032,2
105679419,87662118,207672,118926,2
107562421,87652834,246064,126584,2
142725013,107630004,474380,247778,2
143744084,107582861,447520,263675,2
140526235,107589036,470257,254375,2
142678333,107662609,499551,251758,2
127660204,98196480,381499,191150,2
127850929,98225154,350117,184764,2
124707096,98147014,332512,188672,2
126588592,98217117,331953,190125,2
85584348,74650501,57966,39789,2
88257244,74674058,54179,39695,2
85630303,74680975,55956,39666,2
84279213,74651434,59453,39516,2
88379801,74698151,54459,40513,2
93800629,55739434,643978,364752,2
93732184,55675147,755440,373984,2
93647358,55809570,636982,355596,2
94736863,55633654,764147,374167,2
29216774,16982301,243614,121750,2
29028260,16921287,230594,119460,2
29338052,17019749,237898,120803,2
29057116,17003817,213703,119369,2
29128548,16999084,204778,121387,2
28672581,16971946,220893,114793,2
28713916,16974721,189124,118069,2
28929210,17008989,211104,117334,2
104576874,84387783,186976,103042,2
100378976,84320227,157567,101878,2
98592065,84286446,171090,94389,2
101565583,84323038,150457,100846,2
97934695,84315573,194187,105369,2
66223395,39686135,450816,258671,2
66853553,39713785,479889,264155,2
67191725,39741108,461220,270653,2
67304977,39727749,524469,269872,2
67000581,39660224,514877,264346,2
148364036,112106437,473165,285994,2
150386032,112223501,587751,279860,2
151546241,112079800,594869,282275,2
150131924,112138869,553546,281261,2
94387810,82364791,138281,87984,2
101205969,82400788,159815,88450,2
101170651,82386274,166716,88033,2
101083654,82369427,159529,87896,2
99858233,82401603,148440,89844,2
190781564,135704113,876683,442259,2
183348391,135665456,984870,431989,2
189848050,135697108,925394,438409,2
180048307,131139295,812517,401453,2
180929849,131155039,819218,414620,2
180135450,131233666,801654,403539,2
206694256,145942699,896232,501605,2
204770108,145960657,989217,491011,2
144412654,110277452,558917,264999,2
143976644,110268124,511324,263421,2
146850173,110157028,532189,274334,2
148874398,110389802,523967,277569,2
2445210,1149405,13686,14659,2
2508970,1166275,13743,15122,2
2427537,1145250,13527,14797,2
2420318,1157750,13534,14803,2
2526583,1189610,14428,14796,2
2431968,1160789,14045,14565,2
2436587,1162674,13375,14523,2
2493652,1177576,14023,14944,2
2525492,1187211,13832,14468,2
2496333,1166747,13861,14415,2
2435230,1138707,13310,14194,2
2399760,1121461,13479,14388,2
2366256,1121607,13060,14022,2
2438906,1127543,13388,14771,2
2382138,1129031,12543,14046,2
2373803,1119417,12705,14399,2
2411990,1137235,13023,14704,2
2405495,1138803,13280,14105,2
2468423,1133917,13277,14888,2
2391164,1122750,13266,14327,2
2458672,1142370,13750,14507,2
2422765,1131190,12910,14445,2
101964884,82965618,163985,91901,2
102042299,82978357,173296,88955,2
100743770,82997052,156544,92671,2
101897142,82994469,154947,88896,2
100760305,83056204,161476,89049,2
109331147,87906661,217089,125049,2
110234921,87915613,241377,117725,2
108855286,87871959,197831,127277,2
108559588,87907091,210265,122481,2
110887730,87978413,261149,124486,2
103799483,83834010,196114,99628,2
102351168,83838863,196062,98120,2
97629175,83789139,161586,90220,2
99888216,83785473,180766,94954,2
98159887,83831796,172254,88105,2
96964232,83812197,183623,93814,2
173188142,125801611,708012,372965,2
173371145,125774000,687889,359839,2
172564785,125732151,711116,376293,2
120983505,95899425,315188,181386,2
120984466,95905684,310667,173856,2
119923640,95876628,343079,179625,2
118506218,95907052,353798,182757,2
122590256,95885169,314600,181407,2
9368682,5370226,62905,40331,2
9353745,5353773,64560,39307,2
9569117,5398686,68869,41788,2
9398166,5364647,61052,39523,2
9298700,5339767,69721,39846,2
9417182,5377302,66224,39373,2
9338526,5340494,67660,40157,2
9342901,5353671,62143,39860,2
9335245,5333020,62288,41066,2
9428007,5356784,68751,40408,2
182025201,130262120,823997,395520,2
179200643,130385069,824914,401912,2
177609743,130429346,751298,390724,2
180023096,130335545,704374,396635,2
158223639,118899342,638504,327752,2
161953712,119071783,596590,333270,2
160394794,119139997,636841,321989,2
197902379,139732988,865477,465430,2
194395445,139806289,969224,465204,2
195396336,139757413,825303,468131,2
205700898,145716970,912804,513265,2
204975580,145677841,964665,499413,2
207839444,145915103,911979,507024,2
181327026,129959452,724141,409196,2
178991707,129901287,730708,393924,2
173546317,129955490,663356,393152,2
205509733,145785783,1009558,514975,2
203964408,145866795,1000085,509450,2
108688532,87720503,240583,124251,2
108599823,87743240,229634,122843,2
107238930,87699856,216476,123086,2
108886992,87714895,235984,127734,2
109856199,87725973,229554,121982,2
90890236,76241463,78945,47976,2
86866037,76239580,81631,49176,2
91120681,76408611,82922,50028,2
91984043,76884409,91619,52392,2
89622522,76258792,84492,50316,2
158040487,115869823,657571,308006,2
155277503,115917298,640468,309996,2
152293210,115898047,614945,302762,2
154121740,115793354,594413,308872,2
164970176,121236750,614476,339157,2
166043056,121103328,650999,336503,2
165200961,121199517,619919,338825,2
106492018,86626433,196486,114913,2
102639451,86558444,186872,113885,2
107952980,86567816,207102,112281,2
107978434,86614282,175088,113688,2
107156872,86606641,220085,116299,2
88577946,74838698,55541,41332,2
87216244,74824682,56704,40014,2
87187029,74824890,53505,40537,2
88450985,74800728,51971,40075,2
85829344,74819907,56894,40210,2
194168958,142942518,911212,477635,2
200075910,142900335,921891,480237,2
202670538,142774380,897839,487446,2
87324235,74915803,61030,39861,2
85994652,74914026,59569,41379,2
88737980,74953252,57764,41522,2
87129672,74982443,56028,42888,2
87396716,74952571,58419,41434,2
114945889,91549017,253169,143990,2
116472432,91597855,267683,145414,2
113595924,91490662,269717,147719,2
112437513,91534786,264780,144845,2
112328460,91562859,247238,144426,2
146119802,109955109,461927,273872,2
143550612,109931581,537242,269883,2
144656175,109874188,524515,270409,2
142597498,109989291,575812,266007,2
118889587,94562091,328262,168856,2
115875147,94613574,300113,157415,2
120203612,94691970,293769,165168,2
121834045,94656696,327835,164846,2
145065727,108441624,501939,260698,2
140868907,108395378,444150,261522,2
144626655,108298556,455888,263793,2
142436271,108328480,515265,261816,2
106907748,88091265,208123,119876,2
109445365,88115813,245948,126339,2
106684454,88077575,229227,123626,2
109250237,88069056,207241,127133,2
184365022,132439997,904639,417537,2
181203772,132273215,788875,426506,2
181681302,132392609,835212,409994,2
93650278,80318111,126619,75788,2
95095151,80387412,122227,75483,2
96221257,80320522,123523,75799,2
96468649,80359543,120409,77409,2
89562960,80345193,127769,72366,2
97642922,80347310,115889,73339,2
133535533,102676331,395452,223025,2
133735130,102578740,398894,225696,2
134008829,102686749,389687,225509,2
130283504,102605104,359480,217518,2
188194074,135164867,711154,432225,2
184638060,135113561,833952,437547,2
187421813,135151277,746792,440603,2
171610775,124566905,649732,371925,2
167292069,124267022,702895,366357,2
168447040,124118091,672940,357940,2
178785339,128411462,792221,392851,2
175068782,128271727,698843,398217,2
177698296,128482698,676831,383888,2
206049044,145241299,916055,521723,2
204301381,145183068,894561,504906,2
203714921,145018923,1032252,483727,2
7813432,4374401,62300,34940,2
7723376,4359539,52666,33933,2
7673702,4368546,54731,34190,2
7729400,4371883,57094,34145,2
7721327,4370856,50767,34716,2
7752389,4366631,52905,34640,2
7736177,4389005,51231,34840,2
7754034,4372318,55516,35110,2
137584579,103931735,430398,227700,2
137329588,103891105,418591,230014,2
134661708,103683968,471764,233341,2
133834895,103831905,445603,219468,2
118376463,70215695,863258,470955,2
119135065,70505420,976672,482504,2
119143424,70307041,899242,458870,2
119529972,70502570,925281,480600,2
115022864,92133486,288938,154481,2
115833408,91972478,276673,148790,2
111929513,91952369,260443,145525,2
110125487,92016716,290049,158822,2
115847453,91986959,266518,151399,2
98173735,81373494,135387,84688,2
18441397,10758363,130646,75977,2
96537240,81345906,133423,82746,2
18420388,10734372,150018,76395,2
18483824,10763326,147619,74723,2
18411748,10786561,139347,77186,2
93307943,81341979,134888,76911,2
161185356,119816404,582570,330774,2
163080654,119772566,688948,344518,2
160177847,119730836,706112,336176,2
164600186,119654036,618727,340762,2
100386634,59384961,744450,396660,2
100481711,59291815,809502,404078,2
99972411,59338482,667357,397843,2
100847125,59648443,731938,401511,2
171988854,125443467,732977,371105,2
173552980,125201548,720581,370078,2
167873782,125158791,683276,357279,2
171836079,125023207,782076,368473,2
150473331,111447769,563708,278158,2
149653167,111780720,521446,292299,2
146953503,111481520,519340,279758,2
9673829,5501305,72948,41962,2
9603374,5483147,78254,40362,2
9540566,5498983,66077,41080,2
9641459,5492092,67340,42514,2
9545282,5494441,69805,41278,2
9676746,5509717,66615,42065,2
9840359,5562116,66136,43163,2
9610528,5496588,66461,41483,2
9543420,5464099,66424,41516,2
9518088,5466350,66492,40901,2
9685824,5498816,66054,42223,2
9387088,5335777,64271,42331,2
9325657,5319197,61971,40284,2
9206785,5300181,60562,39822,2
9310329,5318775,69616,39178,2
9391003,5349281,73277,41187,2
9269469,5320604,64785,39430,2
9324792,5324988,70620,40857,2
9285807,5317470,68276,40474,2
9286136,5317353,63974,39593,2
9239358,5311502,64941,39383,2
9311847,5342980,61802,39417,2
123460699,95674525,295289,174890,2
118841206,95624586,323467,168493,2
122423704,95767541,315456,173939,2
123365413,95616290,330003,171390,2
118199165,95656418,320035,175768,2
78443516,46497778,618840,306192,2
78367987,46518749,598857,307830,2
79075709,46573485,631620,315141,2
78846849,46594574,513148,315715,2
78801416,46665486,592993,307981,2
174040581,125294389,680473,375104,2
171001118,125343010,648470,381292,2
170215846,125210703,708120,374819,2
119358377,94493713,290405,164526,2
116942874,94490903,308301,164702,2
117230591,94494298,336469,167280,2
120466782,94540160,281120,170982,2
120401963,94623188,311935,166627,2
98931750,81979301,127324,87052,2
98267346,82038385,160850,85265,2
100286842,82026263,141970,84884,2
97161894,81998901,146657,80656,2
100502918,82023282,170362,88922,2
181352919,129980963,802717,389887,2
181466335,130097039,713501,407957,2
178808224,129922946,758765,410661,2
8569592,4905002,58839,37242,2
8523963,4892761,52564,37186,2
8568559,4887949,61430,36909,2
8558384,4886366,60002,37559,2
8610966,4912181,59129,38731,2
8571840,4879904,54301,39523,2
8482039,4893240,56005,36705,2
8493026,4874811,61734,37978,2
8479792,4874148,58065,37614,2
8539805,4890124,61555,37717,2
8476335,4882018,59285,36059,2
173619296,126473577,762276,378080,2
170252980,126523661,753391,394291,2
173055052,126314190,702659,383478,2
184862553,134440375,809080,439312,2
188236675,134184535,855488,430824,2
186938206,134401348,841415,425852,2
116530085,93304962,274104,155626,2
118226808,93343097,292583,159864,2
119443443,93368873,293552,156526,2
116512940,93311227,251616,155802,2
84359733,73086803,36474,30595,2
85637968,73050089,36803,29299,2
85574754,73046466,36168,29513,2
84286612,73041697,38292,29318,2
84311713,73050749,35755,29901,2
83080582,73068029,34754,31285,2
118891389,95114189,320483,175082,2
121303825,95189707,329367,168696,2
120070379,95127305,295369,173924,2
121076668,95074854,293540,170235,2
119906768,95146480,308713,169910,2
29322039,17167853,219000,120158,2
28954206,17109736,219530,119692,2
29278879,17205855,206764,116985,2
28970886,17165540,211733,117182,2
29162611,17144373,198222,117555,2
29185642,17117512,216059,118813,2
29155699,17198108,231720,116945,2
103661730,85295344,199699,102460,2
102653521,85313315,204484,111559,2
104133236,85251019,189280,102253,2
105052470,85385988,216593,109442,2
105099758,85285816,196230,101006,2
144293541,112576138,587321,286620,2
152055630,112559056,556681,287555,2
151937140,112494465,576404,281513,2
151871328,112645850,512655,284875,2
87388780,52145512,642129,335093,2
88360857,52229814,654828,344626,2
87808493,52210052,634648,335638,2
87508264,52126118,652743,340889,2
175820866,127881672,803760,381495,2
174186165,127767795,716368,397108,2
177537672,127784489,760836,386397,2
95421062,79869475,111484,71550,2
90606328,79862171,127567,71806,2
94045854,79839584,118906,70844,2
92934453,79882666,124952,73454,2
96808947,80363586,138196,80669,2
162077914,118099354,566924,338653,2
161479073,117969597,696369,318927,2
157406301,117981033,570690,327338,2
157896756,118242613,654575,325394,2
135454910,105433882,402162,232771,2
138812861,105444714,460143,245547,2
139677885,105529344,432782,236925,2
96903139,80665895,113685,76386,2
96997265,80648948,134184,80276,2
95745525,80684425,136289,78024,2
93419440,80610491,121483,76220,2
95248512,80579996,138756,75041,2
96810946,80681617,123401,75107,2
142630247,106979579,467703,246526,2
140898121,107013353,416713,244296,2
141078838,106978956,510284,240043,2
141932603,106873099,444714,242908,2
35486433,20915967,261562,141469,2
35187021,20936370,244285,137681,2
35074189,20789467,257600,139534,2
35420860,20888717,267864,146262,2
35384681,20964486,253411,138056,2
35311041,20920804,236867,140934,2
113816213,91678836,288012,145740,2
112641546,91692202,274087,145799,2
115637649,91697808,308664,146427,2
111614158,91828339,268758,147891,2
18244496,10792533,129021,72680,2
18632769,10812483,138991,75701,2
18279561,10786243,125563,72144,2
18137761,10747587,137973,72806,2
18188180,10724265,146755,73703,2
18327340,10824554,127668,76841,2
18321774,10788824,114882,73927,2
18255887,10791632,129128,75468,2
18560633,10783641,136029,79154,2
127957509,102011740,443395,218718,2
134054225,101944049,366014,210395,2
132960562,101872518,401465,222554,2
134382893,101983684,421507,225371,2
106873877,86601910,221779,115703,2
104388198,86645443,220657,116534,2
107084394,86642057,218355,118063,2
108341066,86631065,223335,114777,2
105923082,86665931,215172,120005,2
20072611,11761191,156278,80469,2
19793356,11751866,145190,77458,2
20041242,11735687,139677,83970,2
20086446,11785754,135573,81344,2
20248400,11793452,149120,83108,2
20223373,11776939,164846,83261,2
19825456,11768633,146914,80317,2
20079351,11793443,137670,82084,2
171711654,124238927,661531,373617,2
171220264,124165827,670549,362321,2
170495029,124322846,749588,363993,2
117944345,92311010,313666,158409,2
36847320,21746989,277753,146083,2
37078802,21794934,285639,145251,2
36233224,21732248,255202,143094,2
37202546,21832073,304468,148845,2
37200552,21848414,301339,146494,2
37899168,21827421,317316,151982,2
35580947,20813469,297468,144296,2
35718342,20834518,291537,144672,2
35491365,20887801,295941,139814,2
35307671,20763482,262088,141430,2
116296623,91347480,252543,148593,2
110434556,91383041,261637,148238,2
108085651,88846658,217359,132497,2
109197845,88839930,245069,126376,2
111838945,88833198,249405,127143,2
108139207,88837303,237905,130132,2
110538109,88805206,254352,130554,2
100487289,84388377,188968,102547,2
103364539,84476609,203487,100887,2
102141826,84426417,195746,104829,2
104439836,84410491,180328,102954,2
143509365,108412749,472959,263757,2
143935801,108427396,526946,260697,2
144451561,108338268,544063,247819,2
145039395,108458133,549911,257933,2
130333682,76546152,1049982,541752,2
127970921,75648202,1046005,508760,2
127592394,75548482,1063085,508479,2
145438624,109387795,509320,269934,2
140990584,109261486,544763,263900,2
142432066,109465637,460651,267002,2
143047793,109433859,532939,266658,2
210226031,147015980,1044951,508790,2
207324245,146923037,1003825,503555,2
209839368,147141513,1015526,496250,2
139749324,105237529,487548,237072,2
139466879,105322941,426980,224340,2
138540360,105251159,458296,241666,2
162693632,118854547,698402,331556,2
158399057,118820374,632288,326234,2
160418995,118954291,618049,336890,2
162163124,118850777,648717,327715,2
194724171,138197363,793290,451565,2
188069959,138229685,911294,463559,2
192457135,138215431,818825,450424,2
109978052,64842351,829492,430964,2
108999611,64852670,817248,422628,2
109001798,64843248,755483,420675,2
152541814,115002874,578840,300570,2
152469632,115024495,570350,313252,2
155862817,114970934,484809,307066,2
152481986,114975717,638566,307860,2
145729271,108807156,496192,268298,2
145016008,108761100,470877,260490,2
142901973,108745340,545527,256445,2
188172213,134860125,846913,428655,2
189298511,134875382,783782,448295,2
188283456,134875602,810671,437577,2
145444135,110299679,483810,268522,2
143708585,110130904,479160,273374,2
147845145,110183087,457581,279202,2
143540355,110104038,523847,268340,2
150032551,111452788,482815,285978,2
148807234,111423254,528578,281772,2
148318683,111373661,478587,279498,2
148633201,111374356,482920,283645,2
118392615,93330178,280910,164157,2
116832425,93319549,301949,159788,2
117119237,93328526,324624,163729,2
116868406,93261872,282763,160355,2
132437264,102723558,444847,219311,2
131404938,102694996,426333,223394,2
133543641,102664307,358248,217725,2
134856439,102706080,423567,219275,2
122854937,72737832,893363,483461,2
122741139,72700182,780100,484512,2
122514767,72726174,789000,476115,2
208640241,146217045,933086,506119,2
206332835,146110133,968589,512961,2
203796291,146138112,947966,504472,2
177720418,127749931,751147,396091,2
178057505,127797784,809744,392547,2
177766531,127866402,715440,381864,2
155148123,115185930,584079,299781,2
155447293,115300886,644486,302994,2
151035226,115217119,533110,305264,2
113895588,89923368,245664,142576,2
113799631,89867843,234050,144249,2
112628785,89887682,255110,141882,2
112735146,89939903,269662,144961,2
110839794,89868929,287284,137562,2
196778630,140647203,955507,478252,2
194252153,140543441,926548,469290,2
191606797,140528041,837370,470459,2
131422023,101077282,376974,217314,2
131456876,101124368,407779,213134,2
132426519,101064080,357421,212236,2
132928441,101131887,423104,210898,2
100861252,84771867,182122,104660,2
102904401,84824621,182628,103492,2
105416640,84800654,180413,106391,2
103646698,84771409,206673,102849,2
97769514,80329156,134544,75455,2
94701814,80352605,139111,72687,2
95071296,80405528,128568,78206,2
97573885,80346053,138233,71477,2
91731608,80321468,133678,73294,2
97768362,80346324,148143,72880,2
101041760,82342050,154442,84544,2
100829015,82304345,145141,85015,2
99598664,82300006,147791,87734,2
100890395,82290689,163372,83383,2
95165861,82333464,147965,87427,2
100841105,82295888,142598,83861,2
86558288,74463485,58439,38466,2
84697889,74485235,53491,38582,2
86555644,74454439,59050,37662,2
87976467,74450464,56882,37924,2
88155682,74497451,57323,39997,2
85166489,74478513,59011,38127,2
99932288,59316418,700673,399278,2
99073164,59252182,706527,373058,2
99746722,59158957,796426,399425,2
99417352,59112574,718013,398370,2
183848192,133453344,970812,428523,2
185958714,133489995,835469,432716,2
185809644,133394260,822632,419280,2
185477791,133440989,776569,422378,2
143781512,108401346,521369,260775,2
143627054,108318330,504115,270263,2
142497212,108451256,466545,265295,2
88183460,77028412,85564,54886,2
92181056,77023643,87426,53557,2
87830112,77014233,93631,54400,2
89439860,76984155,88098,53463,2
90827875,77042878,90542,53945,2
90912427,77028277,89928,52538,2
118789361,94627841,271167,169232,2
120553863,94656101,328889,168419,2
121447673,94621074,285111,167673,2
119072981,94540956,325315,172533,2
152218294,114414128,571983,297666,2
152309507,114457024,537278,296046,2
155017883,114650705,567613,308294,2
151673017,114712524,544318,317698,2
208872288,147334589,942948,517665,2
209284788,147188203,1041200,524780,2
202306863,147152739,981858,514598,2
126858707,99029454,397159,205321,2
127659766,99027772,356924,196480,2
129135177,99074676,348802,193794,2
134482945,102889735,463183,229178,2
130014339,102769663,453371,224378,2
134036482,102847377,390543,222770,2
135724046,102830758,427991,220547,2
119144215,94591957,300119,173697,2
119134017,94548277,310309,171492,2
117693648,94592066,304322,171814,2
120078738,94543192,332370,165226,2
