cycles,instructions,cache_misses,branch_misses,label
7133791,4663849,6338,8700,0
7070342,4643366,5952,7496,0
7118605,4658663,6269,7984,0
7056351,4645999,5734,7561,0
7060364,4648354,5861,7562,0
7073250,4647875,6243,7451,0
7068869,4645691,6213,7330,0
7081362,4657934,6078,7687,0
7137648,4666309,6342,8501,0
7108487,4656634,6367,7699,0
7121849,4660603,6082,7682,0
7100331,4655504,6431,7640,0
7078364,4662584,6174,7444,0
7063500,4649290,6344,7161,0
7098150,4652434,6314,7849,0
7096974,4653606,6275,7690,0
7119068,4667622,6397,8221,0
7057532,4648449,5994,7272,0
7078767,4651462,6171,7213,0
7110043,4658976,6522,8011,0
7147760,4676895,6669,8236,0
7085896,4658006,6686,7637,0
7104421,4654473,6482,7609,0
7070480,4650716,5965,7486,0
7098746,4656635,6278,7632,0
7087663,4658254,6127,7959,0
7108792,4655972,6359,7647,0
7067985,4652262,6168,7621,0
7081623,4651201,6342,7436,0
7069802,4653987,5788,7651,0
7122099,4667607,6510,8078,0
7074828,4648828,6081,7378,0
7079259,4657438,6206,7649,0
7085093,4662567,6220,7486,0
7063134,4651359,6089,7405,0
7098668,4657372,6209,7721,0
7119522,4663163,6640,8020,0
7098201,4657513,6241,7502,0
7076209,4651155,6057,7575,0
7096324,4647043,6355,7654,0
7144160,4670265,6428,7859,0
7099692,4653806,6086,7550,0
7101877,4657352,6190,7898,0
7092371,4659730,6237,7608,0
7112069,4656763,6181,7880,0
7118152,4655288,6308,7846,0
7110077,4659104,6595,7995,0
7179022,4645094,5911,7469,0
7244740,4665810,6443,7820,0
7234665,4655409,6553,7529,0
7206875,4650311,6134,7615,0
7211864,4652535,6139,7554,0
7202655,4643629,6365,7715,0
7251695,4660326,6894,8250,0
7185068,4650652,6187,7593,0
7187396,4645519,6061,7369,0
7216334,4653577,6339,7838,0
7210595,4657030,6394,7750,0
7170048,4651476,5872,7345,0
7221305,4655891,6722,7942,0
7143985,4640461,6282,7351,0
7169447,4647942,6114,7221,0
7204203,4653912,6285,7529,0
7186706,4648676,6514,7485,0
7185805,4652383,5759,7363,0
7188725,4648022,6116,7690,0
7195565,4652150,6099,7387,0
7203962,4652916,6142,7650,0
7225050,4655523,6412,7734,0
7212424,4648804,6268,7455,0
7225092,4656204,6425,7943,0
7180057,4641983,6281,7280,0
7193303,4649724,6132,7383,0
7204357,4646545,6224,7550,0
7180769,4645284,6197,7529,0
7207434,4652618,6197,7703,0
7193645,4650163,6139,7530,0
7214192,4649167,6300,7799,0
7226755,4656489,6500,8017,0
7206182,4652032,6031,7731,0
7196566,4653127,6155,7638,0
7221622,4656230,6199,7953,0
7204150,4649749,6146,7603,0
7197618,4650081,6316,7640,0
7187047,4648525,6206,7408,0
7191995,4646623,6384,7453,0
7194816,4656661,6246,7698,0
7175500,4646164,6147,7339,0
7200450,4654818,6416,7615,0
7181624,4654943,6034,7386,0
7173080,4644556,6117,7453,0
7220518,4658068,6208,8131,0
7162559,4643245,5896,7201,0
7199189,4651289,6292,7466,0
7183855,4649897,5991,7167,0
7209541,4657038,6303,7650,0
7184355,4649815,5995,7573,0
7222032,4656358,6349,7855,0
7180913,4650970,6343,7534,0
7194746,4653250,6733,7591,0
