cycles,instructions,cache_misses,branch_misses,label
33146001,39169014,8500,9878,1
32962976,38777240,8452,209805,1
33038810,39112266,8361,210370,1
52471394,68750998,9202,152220,1
32867578,38673285,9129,10273,1
33161344,39301348,8243,110050,1
33069131,39063327,8070,109525,1
32960799,39048742,7910,109386,1
33015737,38924841,8147,10489,1
32813208,38708826,7536,9590,1
34840601,39003976,7903,109369,1
32884049,38791490,8029,109234,1
33222606,39299136,8310,9956,1
33170946,39301938,7628,9536,1
32827805,38706653,8710,9970,1
56618043,72652248,8957,274852,1
35014064,39113787,8783,209634,1
33155221,39287566,8464,109991,1
33180433,39245780,8299,10096,1
33222838,39351015,8643,110533,1
33116368,39146168,8080,9963,1
53204292,69649002,9683,157514,1
32840882,38702739,8493,9307,1
32839609,38728140,7788,9789,1
35009555,38685193,8465,309889,1
33227990,39349535,8205,9530,1
33029417,39069633,7528,9580,1
34899281,39227108,7712,109222,1
52447761,68633251,9929,155598,1
32836704,38688904,8059,9268,1
32862801,38785175,8885,109673,1
32868893,38777206,8403,9236,1
32836666,38687308,8021,9479,1
32767775,38644432,7798,9724,1
33175295,39264949,8037,9632,1
32896437,38770423,8944,9461,1
34891887,39085903,8469,109404,1
53890464,70714847,9440,164384,1
34952007,39101782,8589,110223,1
35286821,39272181,8851,129997,1
33109943,39029012,8996,10273,1
33138350,39217496,7832,9705,1
33107459,39122721,8521,9832,1
32971724,38953244,8284,9439,1
33422153,39103775,8625,26834,1
33013717,38959520,8536,10214,1
32774428,38623358,7855,9559,1
33125193,39186525,8058,9701,1
34834886,38916794,7978,109637,1
31245448,37786210,8602,10408,1
32908203,38938098,8019,109431,1
33217661,39183067,8723,10194,1
33270485,39357705,8225,9940,1
32929880,38822443,8854,10073,1
33079987,39154401,8450,109441,1
33088112,39163200,8023,110129,1
33159947,39143587,8736,9832,1
33136823,39142362,9052,10203,1
32966271,38938678,8407,9159,1
55711685,73499267,8743,180199,1
33075176,39038000,8541,10138,1
32919326,38852397,13685,109746,1
33179345,39284316,8648,9794,1
33019201,39014944,8334,9080,1
33172747,39197998,8726,110082,1
33049750,38996360,8723,10002,1
57059741,75599668,9523,188369,1
33185903,39221454,8199,10161,1
32853570,38672850,8309,9752,1
32912872,38756853,8430,10313,1
34849031,38914282,8216,109767,1
33072027,38770744,8247,209774,1
33025028,39003132,8313,9901,1
33080151,39096660,8715,68073,1
32901254,38762154,8227,9809,1
33091947,39098330,9079,9653,1
57876396,76904442,8818,193945,1
33083703,39131938,8308,9863,1
34763238,38712974,7897,109254,1
33385107,39039102,7907,26947,1
34771046,38670463,8151,109899,1
33177577,39194212,8018,10113,1
32835315,38657878,8879,9729,1
32878841,38711784,8077,10002,1
32985068,38916282,8166,9678,1
33037198,38999952,8310,10032,1
32851672,38656778,8803,10186,1
56789558,75297770,9067,187100,1
33189341,39222565,8715,9986,1
32838174,38738698,8123,9565,1
