cycles,instructions,cache_misses,branch_misses,label
30224216,37497558,8682,10922,0
32092577,37513662,8965,110194,0
30212790,37499895,8399,10572,0
30181447,37492324,9049,9435,0
30198932,37498440,8594,9849,0
30273316,37499351,8637,109794,0
32054554,37497728,8376,109437,0
30182073,37494438,8409,9546,0
30254214,37496666,8917,33666,0
30191552,37487896,8313,9115,0
30177113,37483543,8592,109962,0
30172349,37494935,8299,10039,0
30140322,37477768,8506,9085,0
30198675,37502647,9392,9899,0
30211317,37497833,8507,9366,0
30151584,37480322,8178,9291,0
32204028,37506123,9138,310407,0
30236287,37501255,8873,10524,0
32074830,37475286,8494,109653,0
32339795,37486351,8787,209850,0
32083955,37481966,8213,109612,0
32318458,37476163,8867,210132,0
30279116,37493598,8766,10346,0
30224547,37480050,8394,9629,0
30258293,37487109,8889,10101,0
31250228,37477250,8617,109452,0
30231372,37479843,8194,109869,0
30210574,37477650,8304,9064,0
30272063,37487105,8804,10302,0
30269282,37490604,8775,10022,0
30701169,37501385,8743,52733,0
30244493,37480278,8694,10023,0
30225918,37478350,8202,9821,0
30244939,37470516,8046,10162,0
30190376,37470657,7768,9147,0
30220554,37479640,8711,9556,0
30266168,37490512,8572,9956,0
32310464,37481856,7983,209814,0
30223431,37475608,7918,9800,0
30220893,37470422,8035,9524,0
30253602,37482724,8816,9797,0
30228622,37481554,8421,10091,0
31271578,37481914,8401,109919,0
32085727,37479453,8213,109719,0
30219002,37476583,8103,9358,0
32213999,37484614,8843,209578,0
30314798,37477061,8049,109987,0
30224605,37483095,8413,9399,0
30224780,37477882,8166,9538,0
30308985,37500086,9603,10430,0
30319297,37487889,8507,79400,0
30226743,37479005,8505,9952,0
30243555,37479727,8051,9784,0
30170589,37462278,7821,9109,0
30208241,37476168,8170,9387,0
32100695,37479173,8376,209794,0
30343551,37517399,9140,110832,0
32282606,37479700,8244,209233,0
30239577,37479412,8175,9671,0
30231716,37476308,8386,9443,0
30256759,37485612,8709,9863,0
30376946,37495572,8637,110242,0
32327484,37478909,8506,209597,0
30278439,37489734,8634,10126,0
32138765,37487065,15657,109858,0
31252047,37476820,8796,109556,0
30237122,37480971,8705,52184,0
30218550,37475806,8134,9909,0
30266188,37477302,8551,34191,0
30244380,37480329,8362,10176,0
30210777,37472898,8128,9358,0
32240392,37486822,8207,201084,0
30248352,37484487,8465,9903,0
30256152,37493787,8364,9561,0
30231520,37429188,7709,9223,0
30325079,37477702,8232,53803,0
30350544,37450914,8623,21892,0
30318700,37463092,8054,10606,0
30268748,37444388,7879,9488,0
30334154,37472548,8441,9954,0
30263532,37462072,8273,9768,0
30268590,37464423,8042,9628,0
32267786,37452541,8186,209735,0
30246313,37445015,7879,9387,0
30294630,37465984,8188,9478,0
30291347,37461124,8348,9746,0
30274175,37470843,8016,9473,0
31314360,37447528,8326,109574,0
30226338,37432209,7579,9327,0
30364217,37467409,8470,109388,0
30280380,37467321,8113,9644,0
32386095,37468269,8162,209500,0
30363826,37469232,8034,109913,0
30247125,37441958,8232,9455,0
30229743,37436368,7550,9194,0
30304750,37467159,8310,9891,0
30271694,37468653,7960,9192,0
30291332,37469108,8427,9518,0
30293042,37463440,8248,9940,0
30305267,37465247,8679,9432,0
30326111,37470828,8574,10259,0
30339136,37480449,8510,10223,0
32399193,37478052,8907,209699,0
30291616,37467475,8065,9700,0
30272665,37458642,8431,9253,0
30262059,37457643,7976,9270,0
30319144,37474945,8211,10062,0
30266874,37463939,8024,9344,0
30297545,37475804,8151,9545,0
30314178,37472635,8040,9296,0
32410364,37477540,9169,210283,0
31362414,37465877,8143,209749,0
30318186,37435036,7844,109307,0
32162375,37477978,8465,109431,0
30332475,37472046,8379,9614,0
31306950,37465954,8263,109084,0
30353412,37478684,8364,10696,0
30337349,37448163,7873,12600,0
30298856,37462005,8156,9751,0
32098733,37439417,7866,209349,0
30366638,37486278,8335,12515,0
30304819,37459655,8205,9835,0
30310510,37465692,8102,9584,0
32169592,37477625,8107,109381,0
30248751,37441776,8043,9605,0
32370579,37469647,8638,209728,0
30310977,37446818,14271,9487,0
30319776,37478869,8447,10176,0
30301967,37468660,8718,9866,0
30330098,37445889,7944,9731,0
30321101,37463745,8083,10064,0
30330680,37466626,8418,10297,0
30242561,37440518,7578,9299,0
30296228,37459357,7933,9864,0
31291223,37463374,7825,109237,0
30289187,37462394,8259,9368,0
30267923,37466178,7792,9603,0
30340691,37476060,8930,10095,0
30297047,37461718,8118,109730,0
32123456,37445949,8471,109331,0
30299531,37468638,8331,10061,0
30281469,37467859,8366,9080,0
30356986,37479212,8229,9273,0
30229840,37433759,8023,8866,0
30222571,37430859,7452,8983,0
30238689,37434267,7868,9558,0
30247313,37442849,7860,9546,0
30314523,37449251,7946,110118,0
30307169,37462032,8066,9630,0
30328862,37442552,7921,109657,0
30277499,37465735,7972,9175,0
30425521,37496927,9330,39406,0
30258753,37443682,8162,9788,0
30225899,37430927,7904,8798,0
30320414,37457897,7726,109259,0
30283916,37452927,8270,9371,0
30297335,37451471,8396,9384,0
32315258,37436024,7706,209288,0
30375158,37454590,8001,109684,0
30270205,37460461,7821,9576,0
30312858,37471167,8201,9759,0
32093243,37435946,7474,109136,0
30322214,37476783,8563,109550,0
30299498,37468241,8417,10211,0
30336215,37459735,12787,108946,0
30232853,37437684,7650,109066,0
30292349,37454838,8288,9648,0
30286828,37443932,7728,9905,0
30259382,37456743,8561,9248,0
30325192,37477963,8451,9946,0
31288001,37465553,7929,109292,0
30300128,37465741,8535,9733,0
30236432,37431384,7718,9380,0
30230516,37434336,7389,9569,0
31309088,37440477,17228,109559,0
30225951,37430765,7491,9211,0
30268137,37462288,7740,9511,0
30374694,37472462,7906,94609,0
30261553,37431162,7877,9290,0
30248222,37437563,7339,9531,0
30322619,37468703,8212,15903,0
30455283,37484514,8235,24079,0
32044324,37479520,8146,175259,0
30291212,37455216,8273,9673,0
30280517,37464426,8139,9203,0
30270053,37471435,8767,109300,0
30307005,37463424,8618,10083,0
30340066,37477777,9033,9994,0
30384668,37456084,8403,109938,0
30297388,37465237,7914,17288,0
30265482,37468813,8181,9135,0
30313416,37466945,8023,9813,0
30341873,37469516,8937,10321,0
30228554,37432837,7549,9189,0
30297933,37450807,8193,10070,0
30277622,37461879,8148,9469,0
30308345,37467242,8157,109746,0
30266100,37437739,7785,9356,0
31345161,37466282,8064,209171,0
30298414,37458831,8338,9814,0
30351924,37449059,8185,109902,0
32165604,37471269,8443,109576,0
30264298,37450730,7911,9629,0
32109381,37439462,7847,109513,0
30317061,37460652,8185,109963,0
30314528,37455597,8304,9618,0
30273773,37461040,7883,9765,0
30297131,37479395,8193,9530,0
31376515,37463207,8383,209903,0
30211958,37424300,7714,9222,0
30266039,37429197,20683,9323,0
30231762,37441233,7476,9448,0
31858615,37455941,7933,95892,0
31227050,37439435,7499,109427,0
32155305,37478541,8438,209499,0
30343880,37459442,8039,109530,0
30398285,37493062,8897,110135,0
32366973,37474973,8189,210038,0
30268895,37471382,8315,9582,0
30285554,37475171,8633,9696,0
30226138,37441461,7740,9671,0
30244850,37448080,8478,9545,0
31363673,37488342,9340,209622,0
30266349,37474243,8935,9487,0
31374543,37478547,8614,210242,0
30286337,37470083,8452,9815,0
30242277,37469384,8232,9627,0
30364386,37477076,8350,110225,0
30283630,37435338,7852,109244,0
31314528,37467711,8337,109522,0
30210479,37441730,7812,8877,0
30194735,37448696,7610,9128,0
30293805,37473916,8588,9850,0
30232079,37464155,7884,8950,0
30281805,37487999,8442,9595,0
30324455,37469109,7902,109238,0
30264103,37470468,8741,9442,0
30273007,37473304,8356,9932,0
30237572,37450903,8142,9181,0
32378602,37483464,15494,209535,0
30290546,37474913,8514,10043,0
30323669,37485331,8562,10474,0
30248016,37465310,8189,9241,0
30307087,37492148,8462,10204,0
30250715,37460399,8052,9704,0
30197659,37435557,7310,9221,0
31322418,37480485,8681,110183,0
30316325,37484522,8607,10557,0
32114888,37455766,8042,209682,0
32147880,37477679,8478,209821,0
30290301,37476120,8791,10025,0
30293736,37474741,8405,9618,0
30290529,37479161,8458,9675,0
32149663,37480709,8108,109334,0
30259349,37469462,7763,8967,0
30355753,37485261,8916,10261,0
32380849,37466001,15233,209808,0
32223468,37490839,9182,210562,0
30936121,37508423,9225,64074,0
30356697,37497591,8983,10357,0
30514257,37561264,9962,12321,0
31703872,37564009,10202,179490,0
30966118,37785023,12228,34955,0
30245975,37464237,8353,9629,0
30268681,37468092,7927,9652,0
30283878,37466524,8139,10091,0
30275204,37472353,8153,9846,0
30371459,37488463,8289,109483,0
30241446,37463956,7985,9452,0
30284321,37469164,8496,10041,0
30273064,37471956,8353,10013,0
30306999,37476320,8331,10406,0
30260843,37470380,8143,9746,0
30310928,37446571,7725,109543,0
30259196,37475170,8832,109392,0
30385920,37469312,8435,109779,0
30328259,37470124,8405,10068,0
30309968,37466857,8461,9654,0
30394300,37448652,8276,110088,0
30352645,37477199,8238,9934,0
30405989,37484527,8717,10592,0
31573012,37467314,13292,109951,0
30345020,37474870,8524,22252,0
32136141,37462421,7791,109584,0
32128215,37441665,7993,109582,0
32143194,37455198,7912,209436,0
30311117,37465896,8449,9829,0
32382119,37469780,8439,210222,0
30299566,37467221,8673,9816,0
30222347,37433938,7299,9105,0
32200173,37473101,8708,110127,0
30328332,37470280,8455,9888,0
32147136,37451911,8095,209647,0
30242598,37436312,7951,9387,0
31313820,37450771,7854,109641,0
30322274,37475969,8177,109797,0
30279185,37440535,7947,9417,0
30296207,37466860,8056,9312,0
30247091,37441489,7866,9545,0
32166581,37457578,9055,109603,0
30341863,37475956,8754,9910,0
30340412,37455680,7773,9792,0
32187633,37461250,7917,109946,0
30318033,37467516,8268,10019,0
32125580,37444667,7665,209328,0
30272668,37455739,8462,9409,0
30220416,37432299,7797,8913,0
30258895,37454739,7597,8961,0
30233279,37444918,7637,8998,0
30295958,37463846,8097,9617,0
31268867,37435596,7713,109424,0
30281357,37468717,8283,9568,0
30317332,37455180,7864,9729,0
32397675,37474364,8085,209848,0
32212103,37468167,8550,110042,0
30334847,37469794,8131,50918,0
30252926,37438566,7745,9443,0
30282178,37447690,8040,9927,0
32115102,37438860,7904,109498,0
30273915,37471772,8053,8990,0
30345845,37441204,13466,109384,0
31329412,37470197,8105,109727,0
30248360,37434780,7911,9208,0
32217040,37476744,8478,210119,0
30371609,37477566,8828,9471,0
30351877,37467932,7999,9481,0
31153813,37759491,14957,112750,0
30366747,37475448,8770,10245,0
30340473,37473956,8658,10337,0
30433411,37466766,8364,110410,0
32162898,37467594,8179,109649,0
30249509,37439258,7780,9423,0
30290729,37473649,8250,9697,0
30267537,37444107,7968,9286,0
31927370,37481136,8749,171824,0
30289659,37468462,8261,9670,0
30298814,37464776,8019,9658,0
32152676,37466489,8229,109721,0
30315749,37459052,7791,10008,0
30315738,37435737,7873,108997,0
30274115,37449241,8141,9432,0
30313000,37466429,8308,9907,0
30325086,37471498,8077,10165,0
30331745,37476021,8367,10034,0
32163752,37471443,8261,209406,0
30341530,37484666,8484,9915,0
30300251,37463106,8086,9668,0
30330946,37468646,7994,110294,0
32152634,37466862,7866,109509,0
30299849,37454208,8035,9345,0
30376609,37495992,8637,10540,0
30327332,37460215,8364,9818,0
30281431,37465754,8513,9434,0
31359001,37482477,8352,110113,0
30295739,37462643,8470,9577,0
30290236,37468624,8122,9558,0
30251285,37441212,7964,9584,0
30271108,37466555,7832,9365,0
30316344,37458217,8618,90154,0
30269981,37458238,7705,9216,0
30319421,37468202,8599,110206,0
30253521,37443867,7856,9529,0
30263927,37464555,8421,9019,0
30317074,37466329,8127,109563,0
32172808,37471420,8232,110342,0
30288573,37462000,8172,9314,0
30378360,37462810,8481,20931,0
30433862,37476774,8172,110279,0
30302414,37467160,8634,9556,0
30226102,37429810,7502,8909,0
30361341,37478277,8452,110180,0
30315441,37473043,8512,18945,0
30268050,37461843,7853,9426,0
30289614,37466376,8256,9429,0
32145437,37454061,7999,109937,0
30289538,37464021,8343,109188,0
32232815,37461570,8037,258093,0
30288821,37469950,8374,9672,0
30270884,37451975,8052,9282,0
31227431,37428378,7517,108767,0
31270586,37439658,7792,109192,0
30318623,37467665,7999,9620,0
30299612,37469067,7512,109483,0
30322160,37473964,8347,9615,0
31351916,37474778,8279,110180,0
30332080,37481224,8165,9972,0
30330482,37464724,8152,10003,0
30365792,37479843,8554,209638,0
30303725,37475321,8866,9647,0
30296135,37457835,8142,9411,0
31335587,37471255,8274,109686,0
30314603,37454270,8201,9419,0
30249686,37442249,7675,9077,0
32431628,37472426,15640,210067,0
31306034,37466057,7970,108945,0
30350972,37481194,8638,10229,0
31288772,37440521,8066,109410,0
30237408,37436871,7633,9471,0
30244444,37434374,7642,9391,0
30341659,37479914,8452,9878,0
30317384,37460016,8202,9753,0
30262631,37440521,8103,9095,0
30279294,37465615,7737,9256,0
30393281,37467246,13192,109840,0
32140634,37470024,8049,209159,0
30289352,37430891,7621,9100,0
30268641,37459119,7910,9583,0
30289586,37467120,8004,9703,0
30241130,37443185,8006,9479,0
30315120,37459249,8491,9922,0
30392817,37488277,8660,10727,0
30286556,37462152,8064,109626,0
30348349,37485676,8470,10541,0
30242988,37465050,7925,9458,0
32125406,37475500,8215,109561,0
30279923,37469091,8158,9738,0
30268820,37459167,8375,9501,0
31315283,37471326,8522,109975,0
