cycles,instructions,cache_misses,branch_misses,label
78299754,70913957,8431,9339,0
79854308,70910478,8643,8494,0
79927576,70914018,9876,9284,0
80661079,70902474,8503,8521,0
78353329,70929905,9154,9399,0
79880056,70901980,8787,8619,0
75882649,70894437,9364,8705,0
79098974,70914828,8546,8302,0
81454202,70902988,9070,8333,0
81462569,70900186,8397,8182,0
78302898,70904346,8587,8905,0
77483052,70901174,8829,8939,0
80720338,70924914,9198,9062,0
80457247,70897972,8739,8555,0
81469889,70896993,9121,8452,0
79056443,70901124,8876,8610,0
79920484,70913977,9162,9043,0
77446970,70894457,8701,8109,0
80728418,70924661,9331,9619,0
79849061,70892913,8379,7993,0
80627819,70898017,8898,8233,0
79881905,70903080,8862,8683,0
77678868,70913599,9393,9338,0
78424214,70885280,8825,8392,0
79112511,70916404,9526,8613,0
76727047,70908514,8769,8753,0
78283721,70892392,8779,8743,0
73456472,70884142,8670,8376,0
80684300,70904207,9184,8495,0
81521566,70921265,8974,9268,0
75262410,70893911,9320,8887,0
79845599,70895260,8355,8039,0
74441027,70895466,8843,8707,0
79834728,70891368,8572,8071,0
79904402,70906925,9634,8928,0
79863918,70898360,8765,8743,0
79074895,70900162,8894,8502,0
81431626,70897657,8979,8159,0
80235550,70928906,9408,10203,0
79843478,70891037,8458,8146,0
75056158,70887865,8696,8668,0
81473008,70912839,9159,8051,0
76656270,70896873,8680,8929,0
78280787,70901735,8895,8315,0
78894600,70895532,8467,8381,0
79039313,70894243,8363,7697,0
79035578,70893561,8516,8069,0
81489603,70909035,8707,8292,0
79428554,70898975,8695,8120,0
79038164,70906860,9512,9229,0
77520150,70900986,9114,9026,0
77513179,70904324,9113,9196,0
79896724,70901782,8435,8723,0
75857564,70894145,8667,8811,0
79022714,70892199,8329,8070,0
76688485,70895906,9064,8896,0
78334016,70918611,9103,8647,0
79931936,70915288,8969,9271,0
77507849,70897034,9486,9104,0
81481398,70917120,8991,8426,0
78300318,70901260,9100,9079,0
76666628,70899295,9068,8234,0
78279149,70899704,8805,8847,0
73441496,70886277,8603,8424,0
80682184,70903000,8727,8532,0
79880453,70908491,8920,8365,0
78337959,70913261,9183,9294,0
79043407,70896703,9004,8131,0
79889207,70909294,8961,8583,0
81470924,70909769,8821,8351,0
80707524,70910740,9143,9456,0
76729643,70903561,9579,9215,0
80646239,70899560,8719,8065,0
78281972,70896615,9209,8633,0
81505743,70918955,8470,9143,0
80718739,70916130,9307,9215,0
76712068,70909278,9522,9172,0
81568703,70942630,9425,10004,0
79147885,70922649,9698,9381,0
79925518,70910062,9135,9392,0
78285730,70904280,8943,8558,0
79894169,70913274,8657,8893,0
81520912,70920550,8897,9168,0
76287619,70898314,8902,8091,0
80654369,70901438,8399,8455,0
76715536,70898519,8754,8996,0
78307216,70901984,8523,9202,0
79106688,70918189,8842,8880,0
79122278,70915187,9336,9019,0
78919533,70897979,8681,8742,0
79903976,70915866,8406,8838,0
78124010,70901456,8506,8816,0
79918227,70909886,9525,9264,0
81342553,70930791,9105,9114,0
78260175,70897768,8470,8429,0
81476189,70901830,9033,8266,0
81551781,70931495,9220,9352,0
79902464,70923155,9268,8319,0
79863365,70898966,9106,8550,0
81465574,70904352,8471,8241,0
81455666,70902392,8216,8318,0
79872527,70910347,8953,8511,0
79853152,70898125,8448,8443,0
77460890,70893763,8927,8557,0
79088626,70903524,8650,8675,0
79428668,70923228,9061,9669,0
75930496,70898294,9612,8978,0
80692778,70915243,9424,8207,0
77488824,70911945,8574,8684,0
76761894,70912474,9218,9304,0
75868027,70891017,8935,8467,0
78275022,70901912,8489,8468,0
77481362,70895452,9349,8442,0
79296642,70902583,8992,8996,0
78269086,70896225,8343,8448,0
79096903,70904210,8905,9222,0
79072898,70899388,8577,8090,0
77491458,70903157,9158,9290,0
79096155,70898227,8811,8826,0
78309216,70908082,9022,9057,0
80661586,70899955,8604,8387,0
79729494,70929893,8940,9320,0
76912784,70889844,8524,8638,0
79935487,70921229,9159,8713,0
81444350,70898006,8568,8224,0
80739942,70919440,9126,9294,0
78275379,70896371,8497,8501,0
81542604,70933268,9046,9360,0
78801584,70893347,8916,8163,0
79865003,70900584,8767,8509,0
79073558,70900146,9091,8661,0
79900894,70900519,8918,8851,0
81453232,70900424,9047,8346,0
79101062,70906588,8966,8699,0
76663256,70891402,8931,8303,0
77489709,70897487,8748,8863,0
80718763,70918339,9336,8997,0
79069021,70900494,9177,8762,0
78295558,70907709,9131,8259,0
77503239,70907704,8798,9153,0
75898461,70903042,9396,8331,0
78271952,70897415,8924,8580,0
75862940,70897347,8689,8283,0
81422942,70930134,9257,9529,0
78169541,70921125,8951,8850,0
79127318,70914561,8809,9088,0
78293661,70904431,9248,9025,0
79102128,70909625,9103,8443,0
78257036,70893021,9123,7869,0
81494902,70913651,9216,8429,0
77477686,70898490,9015,8641,0
79082750,70915721,9309,8222,0
76687290,70896286,8255,8548,0
79074488,70899442,8382,8318,0
76243349,70913773,8962,8939,0
79079646,70905400,9000,8901,0
79871951,70898872,8528,8741,0
74763474,70894578,8875,9172,0
79864766,70905351,8977,8695,0
81503555,70908425,8529,8864,0
80679624,70910383,8732,8581,0
80729285,70919372,8990,8912,0
75882653,70890844,8403,8485,0
79889203,70916218,8794,8860,0
78088093,70912515,8989,9302,0
79112633,70913830,8954,9258,0
78349291,70907758,8781,9271,0
79048409,70898828,8595,8143,0
79892984,70902558,8601,8753,0
81487251,70903622,9355,8552,0
75864057,70890909,8258,8302,0
79888487,70903523,8717,8444,0
80653180,70900049,9617,8639,0
78285479,70898887,8917,8224,0
81488756,70912047,9192,8628,0
81519068,70927856,9618,8999,0
78289795,70900660,9029,8152,0
79912648,70917505,8979,8979,0
